5092618052,42539063,2285561,
3997750097,23725534,2238139,
3351450620,20327426,2214149,
3359345643,19059300,2153215,
3241161493,17937338,2149023,
3261792026,11232189,2260044,
3313687806,12265395,2172847,
3313260462,13677501,2239298,
3282699533,16779193,2187146,
3249862604,12863027,2107292,
3277832091,9785037,2269575,
3141059331,14835171,2140532,
3601830166,22828514,2101178,
3170495147,14361518,2157637,
3152277201,11113843,2203013,
3287799200,11685410,2217527,
3970910941,17177593,2229294,
3198556540,10056118,2133376,
3269147300,11110696,2167657,
3130027586,9888086,2180876,
3354986800,17710007,2155644,
3186786819,16555824,2212867,
3163994545,16412718,2197323,
3267202098,10985490,2152463,
3155564194,16352006,2165761,
3434287173,16344593,2244536,
3881018573,22485841,2168347,
3627657981,12843732,2240592,
3739194016,12707698,2168640,
3180527748,12959757,2129508,
3142639.63036963,10531340,2164621,
3239620.5124875125,12410350,2166440,
3122371.895104895,9366312,2171161,
3164370.5354645355,10411114,2218251,
3071202.704295704,7581473,2139432,
3157345.5444555446,11150394,2175072,
3048900.3456543456,7822347,2160214,
3082973.5944055943,7909343,2212887,
3311012.759240759,12585039,2150618,
3132695.340659341,29209720,2200087,
3136061.827172827,13122665,2163224,
3353699.073926074,18508987,2262813,
3318708.202797203,13987734,2183129,
3409761.007992008,15992092,2202990,
3247486.021978022,10005627,2284695,
4076571.3266733265,18582523,2233192,
3842585.675324675,17699574,2282321,
3140525.324675325,10436878,2144994,
3145677.5054945056,8304334,2269751,
3200075.026973027,13224591,2190725,
3270129.8631368633,17244164,2154984,
3307273.0689310688,34436290,2271093,
3278974.115884116,13404956,2178657,
3334230.743256743,14267809,2224996,
3339015.3636363638,12365442,2206270,
3147632.176823177,10089794,2228338,
3328046.864135864,10611881,2240472,
3256046.7352647353,15871228,2168572,
3097184.5154845156,15229621,2211180,
3173858.092907093,9941660,2100217,
3282587.6293706293,12116849,2316670,
3166284.5304695303,9473566,2225018,
3351952.4865134866,9913612,2222265,
3033451.762237762,7718565,2171858,
3177131.955044955,9194638,2176040,
3084903.82017982,10361330,2145497,
3193364.3706293707,9649799,2159510,
3174907.5094905095,8076584,2193207,
3282088.2427572426,7340467,2336079,
3216013.192807193,8628727,2243738,
3240226.2837162837,11325067,2224771,
3163321.135864136,11061687,2181382,
3166868.0369630367,10433618,2131479,
3427312.2207792206,12205044,2301052,
3184533.122877123,11844336,2180842,
3718470.742257742,12658609,2186832,
3213717.3736263737,16156475,2165970,
3150916.7082917085,8132257,2152243,
3150130.3786213784,12901927,2217125,
3165739.292707293,10510106,2167907,
3139387.2997002997,7472672,2212693,
3222474.3546453547,9007693,2187481,
3133204.4225774226,10461115,2175128,
3376331.787212787,11553934,2210473,
3231031.84015984,13076207,2232894,
3166847.3716283715,9336102,2156930,
3530632.81018981,13321048,2231139,
3622208.2007992007,15770822,2267044,
3440732.7312687314,9632226,2192516,
3327764.867132867,10928864,2277992,
